train_loss,val_loss,train_f1,val_f1,lr
2.09897801584127,2.3153481754389675,0.21019703149795532,0.20255929231643677,0.0001
1.7138680052054442,1.5249921715620793,0.3881492018699646,0.4581269323825836,0.0001
1.417833334194019,1.380598219055118,0.5095394849777222,0.4907611012458801,0.0001
1.166826078410592,1.0127716488910443,0.6154053807258606,0.6548575162887573,0.0001
0.9581868919520692,1.0188936735644485,0.691077470779419,0.6707673668861389,0.0001
0.8102168993614699,1.0075734709248398,0.7444366216659546,0.690601110458374,0.0001
0.7076824966674489,0.9665910122972546,0.7811988592147827,0.7167764902114868,0.0001
0.6293654875690434,0.731057041070678,0.809219479560852,0.7744848728179932,0.0001
0.5339882370092972,0.8039422402243045,0.8396002650260925,0.7592971324920654,0.0001
0.4842534969284151,0.6468644399534572,0.8555542826652527,0.8053646087646484,5e-05
0.33939951122685624,0.510856907024528,0.9012295603752136,0.8649151921272278,5e-05
0.30849648492575504,0.5065540052724608,0.9108030200004578,0.8537917137145996,5e-05
0.2824176315581447,0.5614510054389635,0.9207625389099121,0.8550992012023926,5e-05
0.2501699445418625,0.5742263364972491,0.9285558462142944,0.8463019728660583,5e-05
0.23828145533022968,0.5395567218462626,0.9326233267784119,0.8704509139060974,5e-05
0.2274535924508796,0.5242102318866686,0.9375843405723572,0.8617901802062988,5e-05
0.21377773099745753,0.4764544094602267,0.9387553930282593,0.8761304616928101,5e-05
0.20381583592299027,0.48681655751936365,0.9423035979270935,0.8819029331207275,5e-05
0.18741546869235717,0.462350597661553,0.9478169679641724,0.8737683296203613,5e-05
0.1847492057150082,0.5311261413223816,0.9490246772766113,0.8662420511245728,2.5e-05
0.13100521504887444,0.45290175481050304,0.9654478430747986,0.8978167772293091,2.5e-05
0.12202520353842079,0.39537012729455123,0.9674794673919678,0.9070391654968262,2.5e-05
0.1104804404859184,0.4457762898651488,0.971710205078125,0.9080073833465576,2.5e-05
0.10394383280468332,0.4277305912339326,0.9713037014007568,0.9060758352279663,2.5e-05
0.10350728884778596,0.4500649499735146,0.9726395606994629,0.9021562337875366,2.5e-05
0.08933405772901125,0.42379294527751027,0.9763854742050171,0.9091372489929199,2.5e-05
0.09698879328828787,0.4370327474492969,0.974416196346283,0.905163049697876,2.5e-05
